event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
500933619,true,2009-01-01 12:00:00.000,-2.66298816,51.40701344,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933620,true,2009-01-01 12:00:00.020,-2.66298848,51.40701335,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933621,true,2009-01-01 12:00:00.040,-2.66298796,51.40701359,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933622,true,2009-01-01 12:00:00.060,-2.66298759,51.40701386,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933623,true,2009-01-01 12:00:00.080,-2.66298812,51.40701393,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933624,true,2009-01-01 12:00:00.100,-2.6629894,51.40701382,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933625,true,2009-01-01 12:00:00.120,-2.6629906,51.40701371,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933626,true,2009-01-01 12:00:00.140,-2.66299159,51.40701364,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933627,true,2009-01-01 12:00:00.160,-2.66299229,51.40701362,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933628,true,2009-01-01 12:00:00.180,-2.66299281,51.40701365,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933629,true,2009-01-01 12:00:00.200,-2.66299421,51.40701352,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933630,true,2009-01-01 12:00:00.220,-2.66299637,51.40701327,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933631,true,2009-01-01 12:00:00.240,-2.66299863,51.40701301,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933632,true,2009-01-01 12:00:00.260,-2.66300127,51.40701274,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933633,true,2009-01-01 12:00:00.280,-2.66300419,51.40701245,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933634,true,2009-01-01 12:00:00.300,-2.66300766,51.40701202,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933635,true,2009-01-01 12:00:00.320,-2.66301113,51.40701159,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933636,true,2009-01-01 12:00:00.340,-2.6630146,51.40701115,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933637,true,2009-01-01 12:00:00.360,-2.66301815,51.40701052,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933638,true,2009-01-01 12:00:00.380,-2.66302202,51.40700978,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933639,true,2009-01-01 12:00:00.400,-2.66302572,51.40700915,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933640,true,2009-01-01 12:00:00.420,-2.6630294,51.40700852,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933641,true,2009-01-01 12:00:00.440,-2.66303268,51.40700808,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933642,true,2009-01-01 12:00:00.460,-2.66303556,51.4070077,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933643,true,2009-01-01 12:00:00.480,-2.66303818,51.40700721,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933644,true,2009-01-01 12:00:00.500,-2.66304078,51.40700672,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933645,true,2009-01-01 12:00:00.520,-2.66304338,51.40700622,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933646,true,2009-01-01 12:00:00.540,-2.66304672,51.40700555,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933647,true,2009-01-01 12:00:00.560,-2.66304986,51.40700492,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933648,true,2009-01-01 12:00:00.580,-2.66305307,51.4070042,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933649,true,2009-01-01 12:00:00.600,-2.6630566,51.40700335,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933650,true,2009-01-01 12:00:00.620,-2.66305998,51.40700248,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933651,true,2009-01-01 12:00:00.640,-2.66306273,51.4070017,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933652,true,2009-01-01 12:00:00.660,-2.66306501,51.40700099,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933653,true,2009-01-01 12:00:00.680,-2.66306744,51.40700026,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933654,true,2009-01-01 12:00:00.700,-2.6630701,51.40699947,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933655,true,2009-01-01 12:00:00.720,-2.66307259,51.40699871,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933656,true,2009-01-01 12:00:00.740,-2.66307485,51.40699798,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933657,true,2009-01-01 12:00:00.760,-2.6630768,51.40699728,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933658,true,2009-01-01 12:00:00.780,-2.66307865,51.40699649,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933659,true,2009-01-01 12:00:00.800,-2.6630804,51.40699571,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933660,true,2009-01-01 12:00:00.820,-2.66308197,51.40699497,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933661,true,2009-01-01 12:00:00.840,-2.66308363,51.40699423,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933662,true,2009-01-01 12:00:00.860,-2.6630854,51.40699348,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933663,true,2009-01-01 12:00:00.880,-2.66308673,51.40699283,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933664,true,2009-01-01 12:00:00.900,-2.66308746,51.40699234,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933665,true,2009-01-01 12:00:00.920,-2.66308793,51.40699191,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933666,true,2009-01-01 12:00:00.940,-2.66308875,51.40699134,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933667,true,2009-01-01 12:00:00.960,-2.66308965,51.4069907,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933668,true,2009-01-01 12:00:00.980,-2.66309033,51.4069901,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933669,true,2009-01-01 12:00:01.000,-2.66309067,51.4069896,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933670,true,2009-01-01 12:00:01.020,-2.66309099,51.40698916,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933671,true,2009-01-01 12:00:01.040,-2.6630916,51.40698869,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933672,true,2009-01-01 12:00:01.060,-2.66309248,51.40698816,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933673,true,2009-01-01 12:00:01.080,-2.66309339,51.40698764,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933674,true,2009-01-01 12:00:01.100,-2.6630942,51.40698719,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933675,true,2009-01-01 12:00:01.120,-2.66309508,51.40698676,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933676,true,2009-01-01 12:00:01.140,-2.66309592,51.40698629,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933677,true,2009-01-01 12:00:01.160,-2.66309666,51.40698582,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933678,true,2009-01-01 12:00:01.180,-2.66309739,51.4069854,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933679,true,2009-01-01 12:00:01.200,-2.66309835,51.40698501,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933680,true,2009-01-01 12:00:01.220,-2.66309939,51.4069846,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933681,true,2009-01-01 12:00:01.240,-2.66310053,51.40698411,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933682,true,2009-01-01 12:00:01.260,-2.66310195,51.40698354,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933683,true,2009-01-01 12:00:01.280,-2.6631036,51.40698294,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933684,true,2009-01-01 12:00:01.300,-2.66310547,51.40698233,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933685,true,2009-01-01 12:00:01.320,-2.66310729,51.40698173,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933686,true,2009-01-01 12:00:01.340,-2.66310931,51.4069811,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933687,true,2009-01-01 12:00:01.360,-2.66311152,51.40698045,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933688,true,2009-01-01 12:00:01.380,-2.66311384,51.40697979,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933689,true,2009-01-01 12:00:01.400,-2.66311616,51.40697914,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933690,true,2009-01-01 12:00:01.420,-2.6631184,51.40697846,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933691,true,2009-01-01 12:00:01.440,-2.66312039,51.40697779,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933692,true,2009-01-01 12:00:01.460,-2.66312237,51.4069771,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933693,true,2009-01-01 12:00:01.480,-2.66312442,51.4069764,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933694,true,2009-01-01 12:00:01.500,-2.66312638,51.40697571,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933695,true,2009-01-01 12:00:01.520,-2.6631282,51.40697505,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933696,true,2009-01-01 12:00:01.540,-2.66312999,51.40697435,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933697,true,2009-01-01 12:00:01.560,-2.66313162,51.40697359,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933698,true,2009-01-01 12:00:01.580,-2.66313291,51.40697283,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933699,true,2009-01-01 12:00:01.600,-2.66313411,51.40697208,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933700,true,2009-01-01 12:00:01.620,-2.66313542,51.40697126,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933701,true,2009-01-01 12:00:01.640,-2.6631366,51.40697042,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933702,true,2009-01-01 12:00:01.660,-2.66313749,51.40696964,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933703,true,2009-01-01 12:00:01.680,-2.66313839,51.40696889,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933704,true,2009-01-01 12:00:01.700,-2.66313919,51.4069681,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933705,true,2009-01-01 12:00:01.720,-2.66313968,51.4069673,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933706,true,2009-01-01 12:00:01.740,-2.6631399,51.40696651,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933707,true,2009-01-01 12:00:01.760,-2.66314023,51.40696569,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933708,true,2009-01-01 12:00:01.780,-2.66314058,51.40696483,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933709,true,2009-01-01 12:00:01.800,-2.66314058,51.406964,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933710,true,2009-01-01 12:00:01.820,-2.66314027,51.40696322,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933711,true,2009-01-01 12:00:01.840,-2.66313986,51.40696251,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933712,true,2009-01-01 12:00:01.860,-2.66313925,51.40696185,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933713,true,2009-01-01 12:00:01.880,-2.66313828,51.40696122,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933714,true,2009-01-01 12:00:01.900,-2.66313699,51.40696061,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933715,true,2009-01-01 12:00:01.920,-2.66313543,51.40696003,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933716,true,2009-01-01 12:00:01.940,-2.66313366,51.40695955,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933717,true,2009-01-01 12:00:01.960,-2.66313145,51.40695912,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933718,true,2009-01-01 12:00:01.980,-2.66312902,51.40695873,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933719,true,2009-01-01 12:00:02.000,-2.66312662,51.40695838,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933720,true,2009-01-01 12:00:02.020,-2.66312415,51.40695806,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933721,true,2009-01-01 12:00:02.040,-2.66312149,51.40695775,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933722,true,2009-01-01 12:00:02.060,-2.66311877,51.40695747,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933723,true,2009-01-01 12:00:02.080,-2.66311609,51.40695723,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933724,true,2009-01-01 12:00:02.100,-2.66311335,51.40695703,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933725,true,2009-01-01 12:00:02.120,-2.66311037,51.40695684,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933726,true,2009-01-01 12:00:02.140,-2.66310733,51.40695668,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933727,true,2009-01-01 12:00:02.160,-2.66310444,51.40695655,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933728,true,2009-01-01 12:00:02.180,-2.66310179,51.40695647,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933729,true,2009-01-01 12:00:02.200,-2.66309938,51.40695642,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933730,true,2009-01-01 12:00:02.220,-2.66309725,51.40695636,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933731,true,2009-01-01 12:00:02.240,-2.66309534,51.40695632,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933732,true,2009-01-01 12:00:02.260,-2.66309349,51.40695632,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933733,true,2009-01-01 12:00:02.280,-2.66309175,51.40695631,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933734,true,2009-01-01 12:00:02.300,-2.66309041,51.40695631,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933735,true,2009-01-01 12:00:02.320,-2.66308949,51.40695632,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933736,true,2009-01-01 12:00:02.340,-2.66308889,51.40695633,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933737,true,2009-01-01 12:00:02.360,-2.66308854,51.40695635,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933738,true,2009-01-01 12:00:02.380,-2.66308826,51.40695639,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933739,true,2009-01-01 12:00:02.400,-2.663088,51.40695642,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933740,true,2009-01-01 12:00:02.420,-2.66308813,51.40695641,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933741,true,2009-01-01 12:00:02.440,-2.66308888,51.40695641,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933742,true,2009-01-01 12:00:02.460,-2.66309008,51.40695645,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933743,true,2009-01-01 12:00:02.480,-2.66309133,51.40695647,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933744,true,2009-01-01 12:00:02.500,-2.66309261,51.40695646,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933745,true,2009-01-01 12:00:02.520,-2.66309392,51.40695643,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933746,true,2009-01-01 12:00:02.540,-2.66309525,51.40695639,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933747,true,2009-01-01 12:00:02.560,-2.66309661,51.40695631,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933748,true,2009-01-01 12:00:02.580,-2.66309821,51.40695622,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933749,true,2009-01-01 12:00:02.600,-2.66309999,51.40695618,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933750,true,2009-01-01 12:00:02.620,-2.66310166,51.40695619,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933751,true,2009-01-01 12:00:02.640,-2.66310326,51.40695618,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933752,true,2009-01-01 12:00:02.660,-2.66310498,51.40695614,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933753,true,2009-01-01 12:00:02.680,-2.66310666,51.4069561,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933754,true,2009-01-01 12:00:02.700,-2.66310826,51.40695608,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933755,true,2009-01-01 12:00:02.720,-2.66310973,51.40695611,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933756,true,2009-01-01 12:00:02.740,-2.66311126,51.40695619,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933757,true,2009-01-01 12:00:02.760,-2.66311284,51.4069563,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933758,true,2009-01-01 12:00:02.780,-2.6631144,51.4069564,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933759,true,2009-01-01 12:00:02.800,-2.66311602,51.40695649,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933760,true,2009-01-01 12:00:02.820,-2.6631177,51.40695662,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933761,true,2009-01-01 12:00:02.840,-2.66311922,51.40695681,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933762,true,2009-01-01 12:00:02.860,-2.66312047,51.40695703,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933763,true,2009-01-01 12:00:02.880,-2.66312181,51.40695729,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933764,true,2009-01-01 12:00:02.900,-2.66312316,51.40695754,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933765,true,2009-01-01 12:00:02.920,-2.66312459,51.40695781,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933766,true,2009-01-01 12:00:02.940,-2.66312597,51.40695812,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933767,true,2009-01-01 12:00:02.960,-2.66312715,51.40695844,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933768,true,2009-01-01 12:00:02.980,-2.66312831,51.40695878,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
500933769,true,2009-01-01 12:00:03.000,-2.66312964,51.40695917,"2D videogrammetry data","gps","Myotis daubentoni","1","1","Movement coordination in trawling bats (data from Giuggioli et al. 2015)"
